engine,case,concurrency,n,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_per_second,decode_ms_per_token_p50,output_mismatches,ssd_mib_per_request,h2d_mib,peak_query_mib,peak_speculative_mib,final_query_bytes,wall_seconds,drain_seconds,reuse_requests,cold_requests,prepared_mib,restored_mib,unused_mib,pending_mib_after,restored_gib_seconds,unused_gib_seconds,demand_prepare_ms_p95,prepared_read_ms_p95,manager_restore_ms_p95,completion_signal_ms_p95,completion_delivery_ms_p99,read_stopped_events,read_deadline_events
vllm,pair-1-off,4,64,119.841,522.036,599.006,153.902,6.922,5,125.859,10323.0,1728.0,0.0,0,6.654,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,162.575,,22.608,0.112,447.535,0,0
vllm,pair-1-on,4,64,117.402,502.708,548.211,156.827,6.995,4,103.641,10359.0,2304.0,720.0,0,6.529,1.411,51,13,5310.0,5310.0,0.0,0.0,0.698,0.0,145.052,146.722,22.521,0.104,86.191,0,0
vllm,pair-2-off,4,64,124.985,569.434,695.895,152.901,6.888,7,127.969,10188.0,1728.0,0.0,0,6.697,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,164.494,,22.666,0.121,447.156,0,0
vllm,pair-2-on,4,64,107.85,503.023,548.791,157.044,7.123,5,103.641,10359.0,2304.0,720.0,0,6.52,1.413,51,13,5445.0,5445.0,0.0,0.0,0.719,0.0,128.376,155.412,22.698,0.112,86.003,0,0
vllm,pair-3-off,4,64,119.034,590.346,697.763,153.178,6.915,6,127.969,10188.0,2304.0,0.0,0,6.685,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,165.312,,23.033,0.122,226.72,0,0
vllm,pair-3-on,4,64,111.073,502.418,545.939,157.64,7.13,5,101.531,10359.0,2304.0,720.0,0,6.496,1.41,51,13,5310.0,5310.0,0.0,0.0,0.748,0.0,141.356,160.635,22.559,0.111,84.647,0,0
vllm,unbounded,4,64,121.351,517.442,606.023,154.825,6.912,6,128.25,10197.0,1728.0,0.0,0,6.614,1.411,51,13,0.0,0.0,0.0,0.0,0.0,0.0,146.393,,22.817,0.113,264.033,0,0
vllm,deadline,4,64,202.226,771.637,958.032,94.944,14.271,4,77.625,4824.0,1629.0,720.0,0,10.785,1.41,51,13,4257.0,522.0,3249.0,486.0,0.032,2.527,91.99,104.019,19.177,0.114,453.928,8,17
vllm,best-effort,4,64,474.276,933.997,1116.447,74.584,35.414,6,9.703,981.0,576.0,576.0,0,13.729,1.41,51,13,513.0,513.0,0.0,0.0,0.017,0.0,4.653,9.148,1.133,0.116,449.358,32,0
sglang,pair-1-off,4,64,214.181,552.942,667.091,139.437,8.566,4,123.188,9963.0,2268.0,0.0,0,7.344,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,177.137,,27.972,0.125,0.239,0,0
sglang,pair-1-on,4,64,205.704,625.788,649.41,143.532,7.908,4,102.938,9828.0,1269.0,702.0,0,7.134,1.41,51,13,5319.0,5319.0,0.0,0.0,1.09,0.0,203.755,210.002,32.044,0.132,0.254,0,0
sglang,pair-2-off,4,64,207.087,557.377,596.318,134.9,8.546,2,125.297,9963.0,2268.0,0.0,0,7.591,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,206.165,,28.963,0.127,0.246,0,0
sglang,pair-2-on,4,64,206.395,622.318,647.147,146.24,7.818,7,102.938,9963.0,1269.0,702.0,0,7.002,1.411,51,13,5319.0,5319.0,0.0,0.0,1.057,0.0,203.47,198.225,44.067,0.119,0.236,0,0
sglang,pair-3-off,4,64,173.195,546.081,552.759,137.32,8.522,5,125.297,9963.0,2268.0,0.0,0,7.457,1.41,51,13,0.0,0.0,0.0,0.0,0.0,0.0,180.383,,27.47,0.129,0.246,0,0
sglang,pair-3-on,4,64,200.378,587.152,650.475,145.27,7.941,4,102.938,10098.0,1269.0,702.0,0,7.049,1.411,51,13,5886.0,5886.0,0.0,0.0,0.951,0.0,192.107,155.632,29.457,0.131,0.263,0,0
sglang,unbounded,4,64,205.207,583.039,657.106,142.795,8.978,2,127.406,9828.0,1134.0,0.0,0,7.171,1.411,51,13,0.0,0.0,0.0,0.0,0.0,0.0,129.565,,29.802,0.121,0.234,0,0
sglang,deadline,4,64,496.421,1517.719,1544.269,84.136,8.817,2,80.578,3618.0,1701.0,702.0,0,12.171,1.41,51,13,3942.0,675.0,2916.0,351.0,0.095,3.846,108.31,105.803,14.806,0.115,0.225,10,15
sglang,best-effort,4,64,670.714,1353.295,1367.133,68.839,7.729,5,9.281,891.0,837.0,702.0,0,14.875,1.412,51,13,486.0,486.0,0.0,0.0,0.118,0.0,21.849,12.591,2.766,0.117,0.239,37,0
