engine,workload,concurrency,pattern,phase,n,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_per_second,decode_ms_per_token_p50,output_mismatches,ssd_mib,h2d_mib,peak_query_mib,final_query_bytes
vllm,concurrent,1,shared,cold,3,126.739,445.414,473.741,48.05,5.987,0,0.0,0.0,0.0,0
vllm,concurrent,1,shared,after_pressure,3,28.764,41.567,42.705,128.928,5.985,1,0.0,864.0,0.0,0
vllm,concurrent,1,shared,after_host_eviction,3,59.912,141.078,148.293,88.662,5.978,1,864.0,864.0,576.0,0
vllm,concurrent,1,mixed,cold,3,120.873,441.923,470.461,48.368,6.014,0,0.0,0.0,0.0,0
vllm,concurrent,1,mixed,after_pressure,3,25.844,37.645,38.694,131.987,5.991,0,0.0,864.0,0.0,0
vllm,concurrent,1,mixed,after_host_eviction,3,54.28,127.176,133.655,93.173,6.012,0,864.0,864.0,576.0,0
vllm,concurrent,4,shared,cold,12,155.919,516.379,517.027,168.399,6.461,0,0.0,0.0,0.0,0
vllm,concurrent,4,shared,after_pressure,12,90.624,208.007,221.059,264.809,6.315,3,0.0,945.0,1728.0,0
vllm,concurrent,4,shared,after_host_eviction,12,117.189,224.748,237.653,241.534,6.303,3,864.0,945.0,1728.0,0
vllm,concurrent,4,mixed,cold,12,928.426,1165.659,1166.724,50.234,22.681,0,0.0,0.0,0.0,0
vllm,concurrent,4,mixed,after_pressure,12,199.731,305.622,311.218,160.686,6.276,0,4320.0,4320.0,1440.0,0
vllm,concurrent,4,mixed,after_host_eviction,12,191.619,299.41,299.574,162.205,6.322,0,4320.0,4320.0,1440.0,0
vllm,concurrent,8,shared,cold,24,194.95,564.992,568.516,295.564,6.833,0,0.0,0.0,0.0,0
vllm,concurrent,8,shared,after_pressure,24,169.614,347.877,372.836,344.004,6.541,6,576.0,1053.0,1728.0,0
vllm,concurrent,8,shared,after_host_eviction,24,189.643,350.268,379.898,327.57,6.56,6,864.0,1053.0,1728.0,0
vllm,concurrent,8,mixed,cold,24,1724.775,2425.488,2427.211,50.791,7.73,0,0.0,0.0,576.0,0
vllm,concurrent,8,mixed,after_pressure,24,310.63,523.077,547.032,202.828,6.397,2,8496.0,8640.0,2016.0,0
vllm,concurrent,8,mixed,after_host_eviction,24,343.051,549.072,551.662,197.713,6.398,3,8640.0,8640.0,2016.0,0
sglang,concurrent,1,shared,cold,3,124.281,440.602,468.72,48.675,5.858,0,0.0,0.0,0.0,0
sglang,concurrent,1,shared,after_pressure,3,43.361,45.394,45.574,122.582,5.825,0,0.0,837.0,0.0,0
sglang,concurrent,1,shared,after_host_eviction,3,61.52,149.867,157.72,87.709,5.795,0,837.0,837.0,567.0,0
sglang,concurrent,1,mixed,cold,3,118.883,438.535,466.948,49.053,5.816,0,0.0,0.0,0.0,0
sglang,concurrent,1,mixed,after_pressure,3,35.008,44.814,45.686,125.615,5.814,0,0.0,837.0,0.0,0
sglang,concurrent,1,mixed,after_host_eviction,3,72.256,146.046,152.605,85.756,5.814,0,837.0,837.0,567.0,0
sglang,concurrent,4,shared,cold,12,455.028,1426.731,1427.426,72.096,6.711,0,0.0,0.0,567.0,0
sglang,concurrent,4,shared,after_pressure,12,73.122,83.528,83.641,346.575,6.746,2,0.0,837.0,0.0,0
sglang,concurrent,4,shared,after_host_eviction,12,104.09,167.466,167.69,282.294,6.621,1,837.0,837.0,1701.0,0
sglang,concurrent,4,mixed,cold,12,1154.929,1163.133,1163.436,50.127,7.858,0,0.0,0.0,567.0,0
sglang,concurrent,4,mixed,after_pressure,12,207.397,325.934,327.361,158.719,9.818,2,4077.0,4212.0,1404.0,0
sglang,concurrent,4,mixed,after_host_eviction,12,210.542,299.158,302.32,162.316,9.964,0,4212.0,4212.0,1404.0,0
sglang,concurrent,8,shared,cold,24,888.677,1453.298,1455.031,106.762,7.111,0,0.0,0.0,0.0,0
sglang,concurrent,8,shared,after_pressure,24,105.057,122.619,123.446,545.904,7.21,0,0.0,837.0,0.0,0
sglang,concurrent,8,shared,after_host_eviction,24,122.123,208.207,209.124,467.241,7.318,0,837.0,837.0,1701.0,0
sglang,concurrent,8,mixed,cold,24,1727.246,2434.089,2437.219,50.652,8.426,0,0.0,0.0,567.0,0
sglang,concurrent,8,mixed,after_pressure,24,321.287,558.438,601.061,188.946,13.15,2,8289.0,8289.0,1971.0,0
sglang,concurrent,8,mixed,after_host_eviction,24,292.433,497.381,535.194,205.78,13.3,2,8424.0,8424.0,1971.0,0
vllm,sustained,1,,,100,47.211,474.002,477.507,78.523,6.062,9,12096.0,18324.0,576.0,0
vllm,sustained,4,,,128,128.902,508.853,601.387,158.189,7.084,12,16335.0,18657.0,1764.0,0
vllm,sustained,8,,,128,286.032,1140.689,1285.522,176.731,7.962,6,19323.0,22401.0,1890.0,0
sglang,sustained,1,,,97,59.884,470.519,474.454,76.683,5.893,9,11664.0,18414.0,567.0,0
sglang,sustained,4,,,128,179.266,681.201,936.178,144.605,9.967,4,14904.0,18117.0,1269.0,0
sglang,sustained,8,,,128,614.516,1332.492,1600.115,165.124,8.63,0,12771.0,20385.0,1971.0,0
