workload,engine,policy,source,protected_percent,ssd_write_policy,repetitions,requests_per_run,gpu_tokens,host_gib,ssd_gib,query_budget_gib,prefill_tokens,working_set_tokens,output_tokens_per_second_mean,output_tokens_per_second_min,output_tokens_per_second_max,ttft_p50_ms_mean,ttft_p95_ms_mean,ttft_p95_ms_min,ttft_p95_ms_max,ttft_p99_ms_mean,decode_ms_per_token_p50_mean,ssd_read_mib_per_request_mean,ssd_write_mib_per_request_mean,gpu_load_mib_per_request_mean,gpu_save_mib_per_request_mean,ssd_write_before_gib_mean,ssd_write_after_gib_mean,demand_prepare_p95_ms_mean,gpu_restore_p95_ms_mean,completion_delivery_p95_ms_mean,orbitkv_pool_alloc_failures_total,orbitkv_ssd_prefetch_failures_total,orbitkv_ssd_write_queue_full_total,orbitkv_cache_policy_promotions_total,orbitkv_cache_policy_demotions_total,orbitkv_ssd_write_admission_skips_total_cold,orbitkv_ssd_write_admission_skips_total_resident,orbitkv_ssd_write_admission_skips_total_pending,orbitkv_ssd_write_admission_skips_total_duplicate,output_mismatches,reuse_requests_without_hit,reuse_partial_hit_requests,reuse_cached_tokens_mean,sampled_peak_protected_bytes,sampled_peak_query_bytes,sampled_peak_pool_bytes,orbitkv_query_reserved_bytes_after_max,orbitkv_query_speculative_reserved_bytes_after_max,orbitkv_inflight_bytes_after_max,orbitkv_ssd_prefetch_inflight_after_max,orbitkv_ssd_write_inflight_after_max,orbitkv_ssd_write_queue_pending_after_max
short,vllm,control,69334e027260b41bf34680f57ad8c147e1e8fd34,0,all,3,192,65536,4,64,3,8192,196608,63.48841442473569,62.944634498981856,64.11098216467734,1162.552233164509,3070.774956420062,2979.4249799102527,3177.251052670178,3685.0882039591675,18.855670425626965,488.203125,219.90625,481.484375,241.0,27.10546875,68.337890625,458.02858333333324,51.723533333333336,940.6428833333333,0,0,0,0,0,0,0,0,0,12,2,0,6104.544600938967,0,3152019456.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,vllm,protected,69334e027260b41bf34680f57ad8c147e1e8fd34,80,all,3,192,65536,4,64,3,8192,196608,64.33544518288653,63.72459155363583,64.92191938166707,1169.969920689861,3055.9623877828312,2781.3084648922086,3262.9365378990756,3631.7682145411773,18.592568528321053,496.65625,139.828125,488.328125,237.0,27.10546875,53.3232421875,449.8566833333333,52.19125,938.0491833333333,0,0,0,31086.0,6777.0,0,0,0,0,8,0,0,6143,3435134976.0,3133145088.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,vllm,selective,69334e027260b41bf34680f57ad8c147e1e8fd34,0,reuse,3,192,65536,4,64,3,8192,196608,44.584691471608856,44.31441345893419,44.926843517986576,1473.2823713372152,3099.4242202490564,3077.735243923962,3137.498361058532,4192.498380864662,73.4323794229163,352.09375,140.984375,346.1875,380.921875,0.0,26.4345703125,382.8114833333333,53.39683333333333,947.3528,0,0,0,0,0,15168.0,24015.0,5.0,0,15,93,4,4758.091549295775,0,3133145088.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,vllm,combined,69334e027260b41bf34680f57ad8c147e1e8fd34,80,reuse,3,192,65536,4,64,3,8192,196608,41.313644717799654,41.12243259186316,41.48942972224467,1452.5964899609487,3236.117662303149,3166.9822541996837,3275.121418945488,4116.191095287604,87.56831867827309,309.84375,137.265625,308.78125,418.15625,0.0,25.7373046875,352.72436666666664,54.00743333333333,957.2770666666667,0,0,0,19553.0,7792.0,15168.0,22521.0,5.0,0,12,101,32,4400.769953051643,3435134976.0,3152019456.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,sglang,control,69334e027260b41bf34680f57ad8c147e1e8fd34,0,all,3,192,65536,4,64,3,8192,196608,59.22075483900025,59.06448661949798,59.51176053969542,1261.3774165511131,3512.249486334622,3233.5373824462295,3670.1418463140726,4726.95374120027,18.053577633367645,441.421875,196.59375,441.421875,243.734375,27.10546875,63.966796875,444.09046666666666,122.37611666666666,0.24874999999999997,0,0,868.0,0,0,0,303.0,0,0,1,1,0,6060.920187793427,0,2991587328.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,sglang,protected,69334e027260b41bf34680f57ad8c147e1e8fd34,80,all,3,192,65536,4,64,3,8192,196608,59.39983601449806,59.37676551354806,59.43919132414033,1215.536005795002,3420.4806091884757,3167.7717892453065,3651.8472051247954,4346.924881699186,19.781380022565525,452.296875,109.671875,452.296875,241.78125,27.10546875,47.6689453125,429.7034166666666,124.10383333333333,0.24878333333333333,0,0,372.0,28947.0,9218.0,0,306.0,0,0,0,0,0,6080,3435134976.0,2991587328.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,sglang,selective,69334e027260b41bf34680f57ad8c147e1e8fd34,0,reuse,3,192,65536,4,64,3,8192,196608,41.45844056955576,41.091184413472064,41.81094847478867,2202.417138343056,4455.592221518355,4206.832741387186,4677.407585643227,6070.412945474189,30.700585577223038,318.8125,139.703125,318.8125,386.296875,0.0,26.1943359375,400.1791166666666,126.8919333333333,0.24706666666666666,0,0,211.0,0,0,15168.0,21870.0,0,0,0,100,8,4603.793427230047,0,2991587328.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
short,sglang,combined,69334e027260b41bf34680f57ad8c147e1e8fd34,80,reuse,3,192,65536,4,64,3,8192,196608,37.00373183423241,36.66355023888424,37.29841941232491,2289.431197568774,4861.428638547657,4525.471452437341,5518.742207810278,6901.497144276897,41.392158427172234,255.046875,134.234375,261.265625,444.5,0.0,25.1689453125,336.05389999999994,112.16863333333333,0.2508666666666666,0,0,257.0,16440.0,7883.0,15168.0,19650.0,0,0,0,107,46,4028.244131455399,3435134976.0,3208642560.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
extended,vllm,control,69334e027260b41bf34680f57ad8c147e1e8fd34,0,all,1,768,65536,4,64,3,8192,196608,50.942634556108686,50.942634556108686,50.942634556108686,1229.6932395547628,3098.064641840756,3098.064641840756,3098.064641840756,3711.465742029256,69.00988705456257,418.8515625,308.4140625,405.29296875,323.6015625,27.10546875,258.416015625,412.3724999999999,53.500899999999994,959.1947,0,0,0,0,0,0,64.0,0,3.0,21,81,4,5341.303350970018,0,3142582272.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
extended,vllm,selective,69334e027260b41bf34680f57ad8c147e1e8fd34,0,reuse,1,768,65536,4,64,3,8192,196608,58.99598458189135,58.99598458189135,58.99598458189135,1194.2678038030863,2769.2953189834952,2769.2953189834952,2769.2953189834952,3490.2583577483965,38.16787116229534,474.92578125,36.0,458.56640625,267.140625,0.0,27.0,407.992,53.5379,938.96225,0,0,0,0,0,19712.0,44085.0,2.0,0,21,32,1,5885.255731922399,0,3142582272.0,4294967296.0,0.0,0,0.0,0.0,0.0,0.0
