engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
vllm,native,1024,0,cold,118.16675215959549,209.1640755534172,miss,0,0,0,True
vllm,native,1024,0,hbm_hit,29.347192496061325,119.878601282835,hbm,960,0,0,True
vllm,native,1024,0,after_pressure,117.8579069674015,208.84792506694794,miss,0,0,0,True
vllm,native,1024,1,cold,117.79696494340897,208.69705826044083,miss,0,0,0,True
vllm,native,1024,1,hbm_hit,21.810948848724365,112.23834380507469,hbm,960,0,0,False
vllm,native,1024,1,after_pressure,117.61368438601494,208.68772268295288,miss,0,0,0,True
vllm,native,1024,2,cold,117.69724637269974,208.67694541811943,miss,0,0,0,True
vllm,native,1024,2,hbm_hit,21.218761801719666,111.66972294449806,hbm,960,0,0,True
vllm,native,1024,2,after_pressure,118.20463091135025,208.87425914406776,miss,0,0,0,True
vllm,native,1024,3,cold,117.94083192944527,208.83361995220184,miss,0,0,0,True
vllm,native,1024,3,hbm_hit,21.206781268119812,111.53377965092659,hbm,960,0,0,False
vllm,native,1024,3,after_pressure,117.69498139619827,208.79758149385452,miss,0,0,0,True
vllm,native,1024,4,cold,118.9739778637886,208.75918492674828,miss,0,0,0,True
vllm,native,1024,4,hbm_hit,21.240290254354477,111.63373291492462,hbm,960,0,0,True
vllm,native,1024,4,after_pressure,117.61173978447914,208.6871862411499,miss,0,0,0,True
vllm,native,4096,0,cold,475.20188242197037,568.2860426604748,miss,0,0,0,True
vllm,native,4096,0,hbm_hit,23.233480751514435,115.7771535217762,hbm,4032,0,0,True
vllm,native,4096,0,after_pressure,475.2140901982784,568.0501610040665,miss,0,0,0,True
vllm,native,4096,1,cold,475.2979464828968,567.9054595530033,miss,0,0,0,True
vllm,native,4096,1,hbm_hit,23.594923317432404,116.41545221209526,hbm,4032,0,0,True
vllm,native,4096,1,after_pressure,475.29780864715576,568.0909268558025,miss,0,0,0,True
vllm,native,4096,2,cold,476.0819114744663,567.9612942039967,miss,0,0,0,True
vllm,native,4096,2,hbm_hit,23.96627515554428,116.51395261287689,hbm,4032,0,0,True
vllm,native,4096,2,after_pressure,475.46106949448586,568.5225501656532,miss,0,0,0,True
vllm,native,4096,3,cold,474.9036766588688,567.8229965269566,miss,0,0,0,True
vllm,native,4096,3,hbm_hit,23.85963499546051,116.40128120779991,hbm,4032,0,0,True
vllm,native,4096,3,after_pressure,474.9995954334736,567.8102746605873,miss,0,0,0,True
vllm,native,4096,4,cold,475.12897849082947,567.9278671741486,miss,0,0,0,True
vllm,native,4096,4,hbm_hit,23.52060377597809,115.9592717885971,hbm,4032,0,0,True
vllm,native,4096,4,after_pressure,475.1643165946007,568.1200176477432,miss,0,0,0,True
vllm,native,8192,0,cold,1005.9722997248173,1103.100098669529,miss,0,0,0,True
vllm,native,8192,0,hbm_hit,26.61311626434326,124.3341937661171,hbm,8128,0,0,True
vllm,native,8192,0,after_pressure,1005.7083405554295,1102.6851758360863,miss,0,0,0,True
vllm,native,8192,1,cold,1005.683246999979,1102.6892438530922,miss,0,0,0,True
vllm,native,8192,1,hbm_hit,26.23443305492401,123.83721768856049,hbm,8128,0,0,True
vllm,native,8192,1,after_pressure,1005.9451125562191,1102.7800291776657,miss,0,0,0,True
vllm,native,8192,2,cold,1005.8824568986893,1102.7619615197182,miss,0,0,0,True
vllm,native,8192,2,hbm_hit,26.43107995390892,123.9691972732544,hbm,8128,0,0,True
vllm,native,8192,2,after_pressure,1005.6116729974747,1102.5793924927711,miss,0,0,0,True
vllm,native,8192,3,cold,1005.8496259152889,1102.5804616510868,miss,0,0,0,True
vllm,native,8192,3,hbm_hit,26.247046887874603,123.6841045320034,hbm,8128,0,0,True
vllm,native,8192,3,after_pressure,1005.4465942084789,1102.4860441684723,miss,0,0,0,True
vllm,native,8192,4,cold,1005.2969269454479,1102.4931445717812,miss,0,0,0,True
vllm,native,8192,4,hbm_hit,26.167619973421097,123.90054762363434,hbm,8128,0,0,True
vllm,native,8192,4,after_pressure,1006.1081796884537,1103.1334027647972,miss,0,0,0,True
vllm,cpu,1024,0,cold,118.17244067788124,208.5273154079914,miss,0,0,0,True
vllm,cpu,1024,0,hbm_hit,20.51064372062683,110.35919561982155,mixed,1024,0,0,True
vllm,cpu,1024,0,after_pressure,26.112738996744156,115.50357192754745,external,1024,0,0,True
vllm,cpu,1024,1,cold,118.05012449622154,208.14550668001175,miss,0,0,0,True
vllm,cpu,1024,1,hbm_hit,19.66915652155876,109.54144597053528,mixed,1024,0,0,False
vllm,cpu,1024,1,after_pressure,22.438786923885345,112.22782358527184,external,1024,0,0,False
vllm,cpu,1024,2,cold,118.04646626114845,208.2386054098606,miss,0,0,0,True
vllm,cpu,1024,2,hbm_hit,19.568167626857758,109.40757393836975,mixed,1024,0,0,True
vllm,cpu,1024,2,after_pressure,22.621143609285355,112.33348771929741,external,1024,0,0,True
vllm,cpu,1024,3,cold,118.14620345830917,208.2798406481743,miss,0,0,0,True
vllm,cpu,1024,3,hbm_hit,19.699689000844955,109.53927040100098,mixed,1024,0,0,False
vllm,cpu,1024,3,after_pressure,22.481821477413177,112.21703141927719,external,1024,0,0,False
vllm,cpu,1024,4,cold,118.1582324206829,208.23385939002037,miss,0,0,0,True
vllm,cpu,1024,4,hbm_hit,19.62512359023094,109.56054925918579,mixed,1024,0,0,True
vllm,cpu,1024,4,after_pressure,22.369153797626495,112.25823685526848,external,1024,0,0,True
vllm,cpu,4096,0,cold,475.7457561790943,570.2622383832932,miss,0,0,0,True
vllm,cpu,4096,0,hbm_hit,21.666936576366425,113.56234550476074,mixed,4096,0,0,True
vllm,cpu,4096,0,after_pressure,33.12639892101288,124.93894249200821,external,4096,0,0,True
vllm,cpu,4096,1,cold,475.70057958364487,570.1559372246265,miss,0,0,0,True
vllm,cpu,4096,1,hbm_hit,21.757706999778748,113.57946321368217,mixed,4096,0,0,True
vllm,cpu,4096,1,after_pressure,32.91226178407669,124.6553510427475,external,4096,0,0,True
vllm,cpu,4096,2,cold,475.83577409386635,570.0330100953579,miss,0,0,0,True
vllm,cpu,4096,2,hbm_hit,22.561892867088318,114.37524110078812,mixed,4096,0,0,True
vllm,cpu,4096,2,after_pressure,32.7766053378582,124.90798532962799,external,4096,0,0,True
vllm,cpu,4096,3,cold,475.90798139572144,570.0824372470379,miss,0,0,0,True
vllm,cpu,4096,3,hbm_hit,21.766256541013718,113.66047337651253,mixed,4096,0,0,True
vllm,cpu,4096,3,after_pressure,32.63914957642555,124.50497969985008,external,4096,0,0,True
vllm,cpu,4096,4,cold,476.0306254029274,570.2159032225609,miss,0,0,0,True
vllm,cpu,4096,4,hbm_hit,21.85528725385666,113.63071575760841,mixed,4096,0,0,True
vllm,cpu,4096,4,after_pressure,32.72837772965431,124.6168501675129,external,4096,0,0,True
vllm,cpu,8192,0,cold,1006.233636289835,1117.0543767511845,miss,0,0,0,True
vllm,cpu,8192,0,hbm_hit,24.928394705057144,121.17261812090874,mixed,8192,0,0,True
vllm,cpu,8192,0,after_pressure,48.049960285425186,144.11889016628265,external,8192,0,0,True
vllm,cpu,8192,1,cold,1006.4734295010567,1117.1973161399364,miss,0,0,0,True
vllm,cpu,8192,1,hbm_hit,24.976078420877457,120.9510900080204,mixed,8192,0,0,True
