engine,concurrency,pattern,repeat,phase,wall_seconds,sampled_peak_pool_bytes,sampled_peak_query_bytes,query_reserved_bytes_after,query_budget_waits_total,query_budget_bypasses_total,query_coalesced_reads_total,load_bytes_total,ssd_prefetch_bytes_total,save_bytes_total,ssd_write_bytes_total,ssd_prefetch_failures_total,ssd_write_failures_total,load_duration_seconds_sum,ssd_prefetch_duration_seconds_sum,evicted_blocks,still_referenced_blocks
vllm,1,shared,0,cold,0.21656590327620506,264241152.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
vllm,1,shared,0,after_pressure,0.11837096139788628,3888119808.0,0.0,0.0,0,0,0,150994944.0,0,0,0,0,0,0.004736458,0,,
vllm,1,shared,0,after_host_eviction,0.16162876039743423,150994944.0,150994944.0,0.0,0,0,0,150994944.0,150994944.0,0,0,0,0,0.004646704000000001,0.04390822,796,0
vllm,1,shared,1,cold,0.5682269148528576,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
vllm,1,shared,1,after_pressure,0.13590598106384277,4378853376.0,0.0,0.0,0,0,0,603979776.0,0,0,0,0,0,0.018411214,0,,
vllm,1,shared,1,after_host_eviction,0.22317172959446907,603979776.0,603979776.0,0.0,0,0,0,603979776.0,603979776.0,0,0,0,0,0.018430146000000005,0.08773434200000002,848,0
vllm,1,shared,2,cold,1.0992180407047272,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
vllm,1,shared,2,after_pressure,0.1497425138950348,5435817984.0,1207959552.0,0.0,0,0,0,1207959552.0,0,0,0,0,0,0.024786971000000005,0,,
vllm,1,shared,2,after_host_eviction,0.3341921456158161,1207959552.0,1207959552.0,0.0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,0.03677256200000001,0.17418891800000003,960,0
vllm,1,mixed,0,cold,0.2109658233821392,1358954496.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
vllm,1,mixed,0,after_pressure,0.11671838536858559,4982833152.0,0.0,0.0,0,0,0,150994944.0,0,0,0,0,0,0.0046569320000000025,0,,
vllm,1,mixed,0,after_host_eviction,0.14058350026607513,150994944.0,150994944.0,0.0,0,0,0,150994944.0,150994944.0,0,0,0,0,0.004651751999999995,0.023117184999999985,912,0
vllm,1,mixed,1,cold,0.5679075047373772,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
vllm,1,mixed,1,after_pressure,0.1316990666091442,4378853376.0,0.0,0.0,0,0,0,603979776.0,0,0,0,0,0,0.014644063999999998,0,,
vllm,1,mixed,1,after_host_eviction,0.250204361975193,603979776.0,603979776.0,0.0,0,0,0,603979776.0,603979776.0,0,0,0,0,0.01849458100000001,0.114611988,848,0
vllm,1,mixed,2,cold,1.1001018919050694,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
vllm,1,mixed,2,after_pressure,0.1568397879600525,5435817984.0,1207959552.0,0.0,0,0,0,1207959552.0,0,0,0,0,0,0.032546516,0,,
vllm,1,mixed,2,after_host_eviction,0.34156930446624756,1207959552.0,1207959552.0,0.0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,0.036739045,0.18018258399999998,960,0
vllm,4,shared,0,cold,0.25225619599223137,1387266048.0,0.0,0.0,0,0,0,0,0,179306496.0,150994944.0,0,0,0,0,,
vllm,4,shared,0,after_pressure,0.1470365934073925,5011144704.0,0.0,0.0,0,0,0,603979776.0,0,0,0,0,0,0.018260148000000004,0,,
vllm,4,shared,0,after_host_eviction,0.16889608278870583,150994944.0,603979776.0,0.0,0,0,3.0,603979776.0,150994944.0,0,0,0,0,0.017989223999999998,0.024428459000000013,912,0
vllm,4,shared,1,cold,0.6413179785013199,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
vllm,4,shared,1,after_pressure,0.20662140846252441,4378853376.0,1217396736.0,0.0,9.0,0,0,1821376512.0,0,0,0,0,0,0.05158809599999997,0,,
vllm,4,shared,1,after_host_eviction,0.31708642840385437,603979776.0,1811939328.0,0.0,100.0,0,2.0,1821376512.0,603979776.0,0,0,0,0,0.05452184700000001,0.09262773400000002,848,0
vllm,4,shared,2,cold,1.1967310011386871,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
vllm,4,shared,2,after_pressure,0.2352151870727539,5435817984.0,1207959552.0,0.0,54.0,0,0,1236271104.0,0,0,0,0,0,0.029647383000000027,0,,
vllm,4,shared,2,after_host_eviction,0.43656089529395103,1207959552.0,1207959552.0,0.0,420.0,0,0,1236271104.0,1207959552.0,0,0,0,0,0.03771749599999996,0.189798142,960,0
vllm,4,mixed,0,cold,1.7917443364858627,3321888768.0,0.0,0.0,0,0,0,0,0,2113929216.0,2113929216.0,0,0,0,0,,
vllm,4,mixed,0,after_pressure,0.21472901850938797,6945767424.0,1509949440.0,0.0,0,0,0,2113929216.0,0,0,0,0,0,0.059047362999999964,0,,
vllm,4,mixed,0,after_host_eviction,0.4919286109507084,2113929216.0,2113929216.0,0.0,0,0,0,2113929216.0,2113929216.0,0,0,0,0,0.06869164400000005,0.8174038399999998,1120,0
vllm,4,mixed,1,cold,2.2621414065361023,4680843264.0,0.0,0.0,0,0,0,0,0,2566914048.0,2566914048.0,0,0,0,0,,
vllm,4,mixed,1,after_pressure,0.293579388409853,8304721920.0,1962934272.0,0.0,10.0,0,0,2566914048.0,0,0,0,0,0,0.07282193300000006,0,,
vllm,4,mixed,1,after_host_eviction,0.570907399058342,2566914048.0,1811939328.0,0.0,39.0,0,0,2566914048.0,2566914048.0,0,0,0,0,0.08514857600000003,0.6241927239999998,1264,0
vllm,4,mixed,2,cold,2.777784828096628,5737807872.0,1207959552.0,0.0,0,0,0,0,0,3170893824.0,3170893824.0,0,0,0,0,,
vllm,4,mixed,2,after_pressure,0.32277413830161095,9361686528.0,1962934272.0,0.0,22.0,0,0,3170893824.0,0,0,0,0,0,0.08878602000000002,0,,
vllm,4,mixed,2,after_host_eviction,0.6454910263419151,3170893824.0,1962934272.0,0.0,142.0,0,0,3170893824.0,3170893824.0,0,0,0,0,0.10177422600000008,1.0127644559999998,1376,0
vllm,8,shared,0,cold,0.29679232835769653,3321888768.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
vllm,8,shared,0,after_pressure,0.1882929392158985,6945767424.0,1056964608.0,0.0,0,0,0,1207959552.0,0,0,0,0,0,0.03506274099999995,0,,
