run,engine,backend,concurrency,pattern,phase,n,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,requests_per_second,output_tokens_per_second,e2e_p50_ms,decode_ms_per_token_p50,output_mismatches,cache_sources,sampled_peak_pool_bytes,sampled_peak_query_bytes,orbitkv_ssd_prefetch_bytes_total,orbitkv_load_bytes_total,orbitkv_query_budget_waits_total,orbitkv_query_budget_bypasses_total,orbitkv_query_coalesced_reads_total
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,shared,cold,3,474.62746873497963,948.846485093236,990.9992865473032,1.5923475100653146,25.477560161045034,567.2326497733593,6.173678735891978,0,"{""cached_tier_unknown"": 0, ""miss"": 3}",1811939328.0,0.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,shared,after_pressure,3,42.479269206523895,51.19716264307499,51.97208650410175,7.425384972922916,118.80615956676665,135.099146515131,6.174658487240474,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",5435817984.0,1207959552.0,0,1962934272.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,shared,after_host_eviction,3,129.779614508152,226.6438715159893,235.25402769446373,4.172504489513009,66.76007183220814,222.36033529043198,6.172048052151998,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",1207959552.0,1207959552.0,1962934272.0,1962934272.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,mixed,cold,3,474.43221881985664,949.2562510073185,991.462831646204,1.5966149888665089,25.545839821864142,567.0151151716709,6.172193090120952,0,"{""cached_tier_unknown"": 0, ""miss"": 3}",1811939328.0,0.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,mixed,after_pressure,3,38.375016301870346,56.94422759115696,58.59482415020466,7.40270550246204,118.44328803939264,130.92752173542976,6.170167028903961,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",5435817984.0,1207959552.0,0,1962934272.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,1,mixed,after_host_eviction,3,156.80577978491783,235.41528433561325,242.40279585123062,4.096361906973898,65.54179051158236,249.35023486614227,6.169630338748296,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",1207959552.0,1207959552.0,1962934272.0,1962934272.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,4,shared,cold,12,521.9468399882317,1054.378535039723,1054.6309820190072,5.740788541257118,91.85261666011388,640.0119438767433,7.874120896061261,0,"{""cached_tier_unknown"": 9, ""miss"": 3}",1811939328.0,0.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,4,shared,after_pressure,12,78.91642674803734,94.29208748042583,94.75286267697811,20.377901771255964,326.0464283400954,204.3439969420433,7.4319592366615925,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",5435817984.0,1217396736.0,0,3661627392.0,63.0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,4,shared,after_host_eviction,12,182.7872171998024,298.03083948791027,298.3019085973501,13.007518037229021,208.12028859566433,299.72408525645733,7.777704919377963,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",1207959552.0,1811939328.0,1962934272.0,3661627392.0,520.0,0,5.0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,4,mixed,cold,12,1634.156608954072,2432.762692123651,2625.2574075758457,1.7565249780530858,28.104399648849373,1786.0404942184687,7.774737477302551,0,"{""cached_tier_unknown"": 0, ""miss"": 12}",5737807872.0,1207959552.0,0,0,0,0,0
