engine,concurrency,pattern,repeat,phase,index,length,ttft_ms,e2e_ms,cached_tokens,matches_cold_output,text,output_tokens,decode_ms_per_token
vllm,1,shared,0,cold,0,1024,125.0680573284626,215.96193313598633,0,True, and and and and and and and and and and and and and and and and,16,6.059591720501582
vllm,1,shared,0,after_pressure,0,1024,26.835709810256958,117.38017573952675,1023,True, and and and and and and and and and and and and and and and and,16,6.036297728617986
vllm,1,shared,0,after_host_eviction,0,1024,70.39965316653252,160.81880405545235,1023,True, and and and and and and and and and and and and and and and and,16,6.027943392594655
vllm,1,shared,1,cold,0,4096,474.62746873497963,567.2326497733593,0,True,.  and.  and.  and.  and.  and.,16,6.173678735891978
vllm,1,shared,1,after_pressure,0,4096,42.479269206523895,135.099146515131,4095,True,.  and.  and.  and.  and.  and.,16,6.174658487240474
vllm,1,shared,1,after_host_eviction,0,4096,129.779614508152,222.36033529043198,4095,True,.  and.  and.  and.  and.  and.,16,6.172048052151998
vllm,1,shared,2,cold,0,8192,1001.53748691082,1098.2542112469673,0,True,.  and.  and.  and.  and.  and.,16,6.447781622409821
vllm,1,shared,2,after_pressure,0,8192,52.165817469358444,148.96249026060104,8191,True,.  and.  and.  and.  and.  and.,16,6.453111519416173
vllm,1,shared,2,after_host_eviction,0,8192,237.40656673908234,333.8695429265499,8191,True,.  and.  and.  and.  and.  and.,16,6.430865079164505
vllm,1,mixed,0,cold,0,1024,119.58088353276253,210.19690856337547,0,True,.  and.  and.  and.  and.  and.,16,6.041068335374196
vllm,1,mixed,0,after_pressure,0,1024,25.50388127565384,116.18475615978241,1023,True,.  and.  and.  and.  and.  and.,16,6.045391658941905
vllm,1,mixed,0,after_host_eviction,0,1024,49.38986524939537,139.74879682064056,1023,True,.  and.  and.  and.  and.  and.,16,6.0239287714163465
vllm,1,mixed,1,cold,0,4096,474.43221881985664,567.0151151716709,0,True, and.  and.  and.  and.  and.  and,16,6.172193090120952
vllm,1,mixed,1,after_pressure,0,4096,38.375016301870346,130.92752173542976,4095,True, and.  and.  and.  and.  and.  and,16,6.170167028903961
vllm,1,mixed,1,after_host_eviction,0,4096,156.80577978491783,249.35023486614227,4095,True, and.  and.  and.  and.  and.  and,16,6.169630338748296
vllm,1,mixed,2,cold,0,8192,1002.0144768059254,1099.3241369724274,0,True,  and.  and.  and.  and.  and. ,16,6.4873106777668
vllm,1,mixed,2,after_pressure,0,8192,59.00747328996658,155.9201329946518,8191,True,  and.  and.  and.  and.  and. ,16,6.460843980312347
vllm,1,mixed,2,after_host_eviction,0,8192,244.14967373013496,340.81004932522774,8191,True,  and.  and.  and.  and.  and. ,16,6.444025039672852
vllm,4,shared,0,cold,0,1024,153.80413457751274,249.19763952493668,0,True,.  and.  and.  and.  and.  and.,16,6.359566996494929
